waveform_number,event,row,carrier,asic,channel,seq_ch,max_amplitude,Waveform-X,Waveform-Y,Waveform-XY
1,6,6,0,2,1,17,60,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63]","[-12  -9  -3  -5  -5  -1  10  16  20  20  20  19  32  29  31  28  26  46
  56  48  35  36  25  29  33  35  34  23  19  16  16  12 -21 -13  -3   0
   5   3  13  20  25  26  19  24  29  33  35  35  34  28  46  58  60  60
  60  53  46  47  40  39  28  21  12   9]","[[  0 -12]
 [  1  -9]
 [  2  -3]
 [  3  -5]
 [  4  -5]
 [  5  -1]
 [  6  10]
 [  7  16]
 [  8  20]
 [  9  20]
 [ 10  20]
 [ 11  19]
 [ 12  32]
 [ 13  29]
 [ 14  31]
 [ 15  28]
 [ 16  26]
 [ 17  46]
 [ 18  56]
 [ 19  48]
 [ 20  35]
 [ 21  36]
 [ 22  25]
 [ 23  29]
 [ 24  33]
 [ 25  35]
 [ 26  34]
 [ 27  23]
 [ 28  19]
 [ 29  16]
 [ 30  16]
 [ 31  12]
 [ 32 -21]
 [ 33 -13]
 [ 34  -3]
 [ 35   0]
 [ 36   5]
 [ 37   3]
 [ 38  13]
 [ 39  20]
 [ 40  25]
 [ 41  26]
 [ 42  19]
 [ 43  24]
 [ 44  29]
 [ 45  33]
 [ 46  35]
 [ 47  35]
 [ 48  34]
 [ 49  28]
 [ 50  46]
 [ 51  58]
 [ 52  60]
 [ 53  60]
 [ 54  60]
 [ 55  53]
 [ 56  46]
 [ 57  47]
 [ 58  40]
 [ 59  39]
 [ 60  28]
 [ 61  21]
 [ 62  12]
 [ 63   9]]"
2,7,7,2,2,1,81,51,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63]","[ 74  79  80  75  65  65  64  70  80  81  83  78  84  80  82  83  88  95
  94  92  94  88  72  65  49  44  33  32  22   7  -6 -12  51  53  55  55
  65  65  70  80  83  84  95  94 101  94  91  82  77  78  70  72  82  84
  83  81  76  81  91  90  95  95  89  87]","[[  0  74]
 [  1  79]
 [  2  80]
 [  3  75]
 [  4  65]
 [  5  65]
 [  6  64]
 [  7  70]
 [  8  80]
 [  9  81]
 [ 10  83]
 [ 11  78]
 [ 12  84]
 [ 13  80]
 [ 14  82]
 [ 15  83]
 [ 16  88]
 [ 17  95]
 [ 18  94]
 [ 19  92]
 [ 20  94]
 [ 21  88]
 [ 22  72]
 [ 23  65]
 [ 24  49]
 [ 25  44]
 [ 26  33]
 [ 27  32]
 [ 28  22]
 [ 29   7]
 [ 30  -6]
 [ 31 -12]
 [ 32  51]
 [ 33  53]
 [ 34  55]
 [ 35  55]
 [ 36  65]
 [ 37  65]
 [ 38  70]
 [ 39  80]
 [ 40  83]
 [ 41  84]
 [ 42  95]
 [ 43  94]
 [ 44 101]
 [ 45  94]
 [ 46  91]
 [ 47  82]
 [ 48  77]
 [ 49  78]
 [ 50  70]
 [ 51  72]
 [ 52  82]
 [ 53  84]
 [ 54  83]
 [ 55  81]
 [ 56  76]
 [ 57  81]
 [ 58  91]
 [ 59  90]
 [ 60  95]
 [ 61  95]
 [ 62  89]
 [ 63  87]]"
3,14,14,0,3,6,30,52,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63]","[ 90  97 102 105 118 123 123 126 132 133 138 145 140 137 132 136 126 123
 119 118 113 116 122 121 114 104 101  99  90  91  93  87  67  75  79  84
  87  81  81  87 100 107 111 114 122 130 134 134 139 144 150 147 152 143
 134 132 123 118 114 110 102 103 107 109]","[[  0  90]
 [  1  97]
 [  2 102]
 [  3 105]
 [  4 118]
 [  5 123]
 [  6 123]
 [  7 126]
 [  8 132]
 [  9 133]
 [ 10 138]
 [ 11 145]
 [ 12 140]
 [ 13 137]
 [ 14 132]
 [ 15 136]
 [ 16 126]
 [ 17 123]
 [ 18 119]
 [ 19 118]
 [ 20 113]
 [ 21 116]
 [ 22 122]
 [ 23 121]
 [ 24 114]
 [ 25 104]
 [ 26 101]
 [ 27  99]
 [ 28  90]
 [ 29  91]
 [ 30  93]
 [ 31  87]
 [ 32  67]
 [ 33  75]
 [ 34  79]
 [ 35  84]
 [ 36  87]
 [ 37  81]
 [ 38  81]
 [ 39  87]
 [ 40 100]
 [ 41 107]
 [ 42 111]
 [ 43 114]
 [ 44 122]
 [ 45 130]
 [ 46 134]
 [ 47 134]
 [ 48 139]
 [ 49 144]
 [ 50 150]
 [ 51 147]
 [ 52 152]
 [ 53 143]
 [ 54 134]
 [ 55 132]
 [ 56 123]
 [ 57 118]
 [ 58 114]
 [ 59 110]
 [ 60 102]
 [ 61 103]
 [ 62 107]
 [ 63 109]]"
4,15,15,0,2,0,16,53,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63]","[140 140 152 159 164 168 175 173 168 173 179 184 191 191 190 190 185 181
 186 189 196 192 180 170 178 181 179 179 168 161 160 157 164 179 187 189
 184 184 196 194 186 185 197 198 203 194 184 179 176 177 177 182 180 180
 176 164 155 156 154 147 138 135 130 128]","[[  0 140]
 [  1 140]
 [  2 152]
 [  3 159]
 [  4 164]
 [  5 168]
 [  6 175]
 [  7 173]
 [  8 168]
 [  9 173]
 [ 10 179]
 [ 11 184]
 [ 12 191]
 [ 13 191]
 [ 14 190]
 [ 15 190]
 [ 16 185]
 [ 17 181]
 [ 18 186]
 [ 19 189]
 [ 20 196]
 [ 21 192]
 [ 22 180]
 [ 23 170]
 [ 24 178]
 [ 25 181]
 [ 26 179]
 [ 27 179]
 [ 28 168]
 [ 29 161]
 [ 30 160]
 [ 31 157]
 [ 32 164]
 [ 33 179]
 [ 34 187]
 [ 35 189]
 [ 36 184]
 [ 37 184]
 [ 38 196]
 [ 39 194]
 [ 40 186]
 [ 41 185]
 [ 42 197]
 [ 43 198]
 [ 44 203]
 [ 45 194]
 [ 46 184]
 [ 47 179]
 [ 48 176]
 [ 49 177]
 [ 50 177]
 [ 51 182]
 [ 52 180]
 [ 53 180]
 [ 54 176]
 [ 55 164]
 [ 56 155]
 [ 57 156]
 [ 58 154]
 [ 59 147]
 [ 60 138]
 [ 61 135]
 [ 62 130]
 [ 63 128]]"
5,19,19,0,2,6,22,58,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63]","[188 183 179 184 190 194 197 197 209 217 219 227 224 228 235 240 253 237
 212 199 189 184 187 197 184 183 178 170 170 178 197 205 196 196 196 190
 184 172 170 176 192 199 213 217 220 217 212 219 258 234 197 170 154 151
 153 153 157 161 165 160 155 146 147 161]","[[  0 188]
 [  1 183]
 [  2 179]
 [  3 184]
 [  4 190]
 [  5 194]
 [  6 197]
 [  7 197]
 [  8 209]
 [  9 217]
 [ 10 219]
 [ 11 227]
 [ 12 224]
 [ 13 228]
 [ 14 235]
 [ 15 240]
 [ 16 253]
 [ 17 237]
 [ 18 212]
 [ 19 199]
 [ 20 189]
 [ 21 184]
 [ 22 187]
 [ 23 197]
 [ 24 184]
 [ 25 183]
 [ 26 178]
 [ 27 170]
 [ 28 170]
 [ 29 178]
 [ 30 197]
 [ 31 205]
 [ 32 196]
 [ 33 196]
 [ 34 196]
 [ 35 190]
 [ 36 184]
 [ 37 172]
 [ 38 170]
 [ 39 176]
 [ 40 192]
 [ 41 199]
 [ 42 213]
 [ 43 217]
 [ 44 220]
 [ 45 217]
 [ 46 212]
 [ 47 219]
 [ 48 258]
 [ 49 234]
 [ 50 197]
 [ 51 170]
 [ 52 154]
 [ 53 151]
 [ 54 153]
 [ 55 153]
 [ 56 157]
 [ 57 161]
 [ 58 165]
 [ 59 160]
 [ 60 155]
 [ 61 146]
 [ 62 147]
 [ 63 161]]"
6,23,23,0,2,1,17,66,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63]","[257 258 263 270 275 277 283 287 291 290 295 293 288 281 296 300 316 310
 299 296 303 309 302 290 289 285 270 265 265 260 260 252 221 217 214 215
 221 224 239 239 246 249 250 251 257 261 263 260 256 261 272 279 295 298
 294 291 286 298 296 290 282 279 275 269]","[[  0 257]
 [  1 258]
 [  2 263]
 [  3 270]
 [  4 275]
 [  5 277]
 [  6 283]
 [  7 287]
 [  8 291]
 [  9 290]
 [ 10 295]
 [ 11 293]
 [ 12 288]
 [ 13 281]
 [ 14 296]
 [ 15 300]
 [ 16 316]
 [ 17 310]
 [ 18 299]
 [ 19 296]
 [ 20 303]
 [ 21 309]
 [ 22 302]
 [ 23 290]
 [ 24 289]
 [ 25 285]
 [ 26 270]
 [ 27 265]
 [ 28 265]
 [ 29 260]
 [ 30 260]
 [ 31 252]
 [ 32 221]
 [ 33 217]
 [ 34 214]
 [ 35 215]
 [ 36 221]
 [ 37 224]
 [ 38 239]
 [ 39 239]
 [ 40 246]
 [ 41 249]
 [ 42 250]
 [ 43 251]
 [ 44 257]
 [ 45 261]
 [ 46 263]
 [ 47 260]
 [ 48 256]
 [ 49 261]
 [ 50 272]
 [ 51 279]
 [ 52 295]
 [ 53 298]
 [ 54 294]
 [ 55 291]
 [ 56 286]
 [ 57 298]
 [ 58 296]
 [ 59 290]
 [ 60 282]
 [ 61 279]
 [ 62 275]
 [ 63 269]]"
7,32,32,0,2,0,16,62,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63]","[283 285 290 293 296 301 308 308 320 322 325 319 317 323 333 337 354 345
 339 333 333 343 345 345 340 337 335 331 315 308 309 307 285 285 283 285
 294 295 295 294 301 308 323 320 326 326 336 344 359 361 362 358 356 358
 361 358 352 350 345 342 333 328 330 331]","[[  0 283]
 [  1 285]
 [  2 290]
 [  3 293]
 [  4 296]
 [  5 301]
 [  6 308]
 [  7 308]
 [  8 320]
 [  9 322]
 [ 10 325]
 [ 11 319]
 [ 12 317]
 [ 13 323]
 [ 14 333]
 [ 15 337]
 [ 16 354]
 [ 17 345]
 [ 18 339]
 [ 19 333]
 [ 20 333]
 [ 21 343]
 [ 22 345]
 [ 23 345]
 [ 24 340]
 [ 25 337]
 [ 26 335]
 [ 27 331]
 [ 28 315]
 [ 29 308]
 [ 30 309]
 [ 31 307]
 [ 32 285]
 [ 33 285]
 [ 34 283]
 [ 35 285]
 [ 36 294]
 [ 37 295]
 [ 38 295]
 [ 39 294]
 [ 40 301]
 [ 41 308]
 [ 42 323]
 [ 43 320]
 [ 44 326]
 [ 45 326]
 [ 46 336]
 [ 47 344]
 [ 48 359]
 [ 49 361]
 [ 50 362]
 [ 51 358]
 [ 52 356]
 [ 53 358]
 [ 54 361]
 [ 55 358]
 [ 56 352]
 [ 57 350]
 [ 58 345]
 [ 59 342]
 [ 60 333]
 [ 61 328]
 [ 62 330]
 [ 63 331]]"
8,35,35,2,2,7,87,52,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63]","[307 298 285 285 276 282 286 288 297 308 324 330 355 373 384 390 387 385
 373 370 352 341 326 311 305 291 293 298 303 309 312 314 352 338 312 306
 267 254 249 253 258 259 268 274 304 311 342 353 376 377 387 391 402 401
 391 379 357 346 325 322 310 308 301 301]","[[  0 307]
 [  1 298]
 [  2 285]
 [  3 285]
 [  4 276]
 [  5 282]
 [  6 286]
 [  7 288]
 [  8 297]
 [  9 308]
 [ 10 324]
 [ 11 330]
 [ 12 355]
 [ 13 373]
 [ 14 384]
 [ 15 390]
 [ 16 387]
 [ 17 385]
 [ 18 373]
 [ 19 370]
 [ 20 352]
 [ 21 341]
 [ 22 326]
 [ 23 311]
 [ 24 305]
 [ 25 291]
 [ 26 293]
 [ 27 298]
 [ 28 303]
 [ 29 309]
 [ 30 312]
 [ 31 314]
 [ 32 352]
 [ 33 338]
 [ 34 312]
 [ 35 306]
 [ 36 267]
 [ 37 254]
 [ 38 249]
 [ 39 253]
 [ 40 258]
 [ 41 259]
 [ 42 268]
 [ 43 274]
 [ 44 304]
 [ 45 311]
 [ 46 342]
 [ 47 353]
 [ 48 376]
 [ 49 377]
 [ 50 387]
 [ 51 391]
 [ 52 402]
 [ 53 401]
 [ 54 391]
 [ 55 379]
 [ 56 357]
 [ 57 346]
 [ 58 325]
 [ 59 322]
 [ 60 310]
 [ 61 308]
 [ 62 301]
 [ 63 301]]"
9,48,48,0,2,1,17,54,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63]","[406 408 413 413 423 429 439 441 452 452 452 454 447 443 440 444 448 446
 431 427 417 413 407 403 403 401 396 392 380 376 375 372 416 419 414 418
 419 420 421 429 431 434 433 436 435 440 437 433 424 419 411 407 391 392
 387 394 392 390 383 380 377 378 369 365]","[[  0 406]
 [  1 408]
 [  2 413]
 [  3 413]
 [  4 423]
 [  5 429]
 [  6 439]
 [  7 441]
 [  8 452]
 [  9 452]
 [ 10 452]
 [ 11 454]
 [ 12 447]
 [ 13 443]
 [ 14 440]
 [ 15 444]
 [ 16 448]
 [ 17 446]
 [ 18 431]
 [ 19 427]
 [ 20 417]
 [ 21 413]
 [ 22 407]
 [ 23 403]
 [ 24 403]
 [ 25 401]
 [ 26 396]
 [ 27 392]
 [ 28 380]
 [ 29 376]
 [ 30 375]
 [ 31 372]
 [ 32 416]
 [ 33 419]
 [ 34 414]
 [ 35 418]
 [ 36 419]
 [ 37 420]
 [ 38 421]
 [ 39 429]
 [ 40 431]
 [ 41 434]
 [ 42 433]
 [ 43 436]
 [ 44 435]
 [ 45 440]
 [ 46 437]
 [ 47 433]
 [ 48 424]
 [ 49 419]
 [ 50 411]
 [ 51 407]
 [ 52 391]
 [ 53 392]
 [ 54 387]
 [ 55 394]
 [ 56 392]
 [ 57 390]
 [ 58 383]
 [ 59 380]
 [ 60 377]
 [ 61 378]
 [ 62 369]
 [ 63 365]]"
10,49,49,0,2,0,16,63,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63]","[435 434 441 444 454 466 482 485 496 491 488 478 480 477 478 487 493 496
 500 505 498 496 505 511 513 512 509 497 493 488 480 466 429 433 449 450
 454 461 468 468 482 484 483 488 499 502 507 510 509 494 480 488 500 504
 509 499 491 489 489 485 487 487 475 460]","[[  0 435]
 [  1 434]
 [  2 441]
 [  3 444]
 [  4 454]
 [  5 466]
 [  6 482]
 [  7 485]
 [  8 496]
 [  9 491]
 [ 10 488]
 [ 11 478]
 [ 12 480]
 [ 13 477]
 [ 14 478]
 [ 15 487]
 [ 16 493]
 [ 17 496]
 [ 18 500]
 [ 19 505]
 [ 20 498]
 [ 21 496]
 [ 22 505]
 [ 23 511]
 [ 24 513]
 [ 25 512]
 [ 26 509]
 [ 27 497]
 [ 28 493]
 [ 29 488]
 [ 30 480]
 [ 31 466]
 [ 32 429]
 [ 33 433]
 [ 34 449]
 [ 35 450]
 [ 36 454]
 [ 37 461]
 [ 38 468]
 [ 39 468]
 [ 40 482]
 [ 41 484]
 [ 42 483]
 [ 43 488]
 [ 44 499]
 [ 45 502]
 [ 46 507]
 [ 47 510]
 [ 48 509]
 [ 49 494]
 [ 50 480]
 [ 51 488]
 [ 52 500]
 [ 53 504]
 [ 54 509]
 [ 55 499]
 [ 56 491]
 [ 57 489]
 [ 58 489]
 [ 59 485]
 [ 60 487]
 [ 61 487]
 [ 62 475]
 [ 63 460]]"
